id,path
0,../data/lfw-faces/Koichiro_Matsuura_0001.jpg
1,../data/lfw-faces/Mark_Hanson_0001.jpg
2,../data/lfw-faces/Gregorio_Honasan_0001.jpg
3,../data/lfw-faces/Shanna_Zolman_0001.jpg
4,../data/lfw-faces/Edward_Seaga_0001.jpg
5,../data/lfw-faces/Ben_Broussard_0001.jpg
6,../data/lfw-faces/Etta_James_0001.jpg
7,../data/lfw-faces/Marie-Reine_Le_Gougne_0001.jpg
7,../data/lfw-faces/Marie-Reine_Le_Gougne_0002.jpg
8,../data/lfw-faces/Namuddu_Florence_0001.jpg
9,../data/lfw-faces/David_Sousa_0001.jpg
10,../data/lfw-faces/Robert_Blackwill_0002.jpg
10,../data/lfw-faces/Robert_Blackwill_0001.jpg
11,../data/lfw-faces/Thad_Matta_0001.jpg
12,../data/lfw-faces/Lino_Oviedo_0003.jpg
12,../data/lfw-faces/Lino_Oviedo_0002.jpg
12,../data/lfw-faces/Lino_Oviedo_0001.jpg
13,../data/lfw-faces/Tyron_Garner_0001.jpg
13,../data/lfw-faces/Tyron_Garner_0002.jpg
14,../data/lfw-faces/Carlton_Dotson_0001.jpg
15,../data/lfw-faces/Hector_Babenco_0003.jpg
15,../data/lfw-faces/Hector_Babenco_0001.jpg
15,../data/lfw-faces/Hector_Babenco_0002.jpg
16,../data/lfw-faces/Jean_Todt_0001.jpg
17,../data/lfw-faces/Bruna_Colosio_0001.jpg
18,../data/lfw-faces/Joe_Lieberman_0006.jpg
18,../data/lfw-faces/Joe_Lieberman_0001.jpg
18,../data/lfw-faces/Joe_Lieberman_0007.jpg
18,../data/lfw-faces/Joe_Lieberman_0009.jpg
18,../data/lfw-faces/Joe_Lieberman_0005.jpg
18,../data/lfw-faces/Joe_Lieberman_0002.jpg
18,../data/lfw-faces/Joe_Lieberman_0012.jpg
18,../data/lfw-faces/Joe_Lieberman_0008.jpg
18,../data/lfw-faces/Joe_Lieberman_0003.jpg
18,../data/lfw-faces/Joe_Lieberman_0010.jpg
18,../data/lfw-faces/Joe_Lieberman_0004.jpg
18,../data/lfw-faces/Joe_Lieberman_0011.jpg
18,../data/lfw-faces/Joe_Lieberman_0013.jpg
19,../data/lfw-faces/Elijan_Ingram_0001.jpg
20,../data/lfw-faces/Paul_Pierce_0001.jpg
20,../data/lfw-faces/Paul_Pierce_0002.jpg
21,../data/lfw-faces/Valerie_Thwaites_0001.jpg
22,../data/lfw-faces/Joe_Mantello_0002.jpg
22,../data/lfw-faces/Joe_Mantello_0001.jpg
23,../data/lfw-faces/Barrett_Jackman_0001.jpg
23,../data/lfw-faces/Barrett_Jackman_0002.jpg
24,../data/lfw-faces/John_Spencer_0002.jpg
24,../data/lfw-faces/John_Spencer_0001.jpg
25,../data/lfw-faces/Carson_Daly_0001.jpg
25,../data/lfw-faces/Carson_Daly_0002.jpg
26,../data/lfw-faces/Drew_Gooden_0001.jpg
27,../data/lfw-faces/Rita_Wilson_0004.jpg
27,../data/lfw-faces/Rita_Wilson_0001.jpg
27,../data/lfw-faces/Rita_Wilson_0003.jpg
27,../data/lfw-faces/Rita_Wilson_0002.jpg
28,../data/lfw-faces/Stephen_Cooper_0001.jpg
29,../data/lfw-faces/Max_Mosley_0001.jpg
30,../data/lfw-faces/Christoph_Daum_0001.jpg
31,../data/lfw-faces/Paola_Espinoza_0001.jpg
32,../data/lfw-faces/Christopher_Reeve_0004.jpg
32,../data/lfw-faces/Christopher_Reeve_0003.jpg
32,../data/lfw-faces/Christopher_Reeve_0002.jpg
32,../data/lfw-faces/Christopher_Reeve_0001.jpg
33,../data/lfw-faces/Brock_Berlin_0001.jpg
34,../data/lfw-faces/Emmit_Smith_0002.jpg
34,../data/lfw-faces/Emmit_Smith_0001.jpg
35,../data/lfw-faces/Kelly_Santos_0001.jpg
36,../data/lfw-faces/Baz_Luhrmann_0001.jpg
37,../data/lfw-faces/Susie_Castillo_0002.jpg
37,../data/lfw-faces/Susie_Castillo_0001.jpg
38,../data/lfw-faces/Alecos_Markides_0001.jpg
39,../data/lfw-faces/Tom_Izzo_0001.jpg
40,../data/lfw-faces/Natalia_Dmitrieva_0001.jpg
41,../data/lfw-faces/Xiang_Huaicheng_0001.jpg
42,../data/lfw-faces/Malik_Mahmud_0001.jpg
43,../data/lfw-faces/Hector_Grullon_0001.jpg
44,../data/lfw-faces/Jorge_Quiroga_0001.jpg
45,../data/lfw-faces/Mike_Myers_0002.jpg
45,../data/lfw-faces/Mike_Myers_0004.jpg
45,../data/lfw-faces/Mike_Myers_0003.jpg
45,../data/lfw-faces/Mike_Myers_0007.jpg
45,../data/lfw-faces/Mike_Myers_0005.jpg
45,../data/lfw-faces/Mike_Myers_0001.jpg
45,../data/lfw-faces/Mike_Myers_0006.jpg
46,../data/lfw-faces/Ernie_Harwell_0001.jpg
47,../data/lfw-faces/Jeremy_Fogel_0001.jpg
48,../data/lfw-faces/Nastassia_Kinski_0002.jpg
48,../data/lfw-faces/Nastassia_Kinski_0001.jpg
49,../data/lfw-faces/Malcolm_Wild_0001.jpg
50,../data/lfw-faces/Larenz_Tate_0001.jpg
51,../data/lfw-faces/Ted_Christopher_0001.jpg
